Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 30-Aug-2023 at 13:49:27.
RAAW-GE Tower                                                                                      
=================================================================================

            tower frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.24368E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist
 0.2472	 0.006292	 0.056450	 0.000000	 0.000000	 0.005776
 0.2507	 0.006470	 0.057258	 0.000000	 0.000000	 0.005857
 0.3203	 0.010558	 0.073510	 0.000000	 0.000000	 0.007484
 0.3797	 0.014871	 0.088372	 0.000000	 0.000000	 0.008871
 0.4248	 0.018689	 0.100505	 0.000000	 0.000000	 0.009924
 0.4596	 0.021976	 0.110070	 0.000000	 0.000000	 0.010738
 0.4866	 0.024734	 0.117635	 0.000000	 0.000000	 0.011369
 0.5137	 0.027677	 0.125343	 0.000000	 0.000000	 0.012001
 0.5407	 0.030813	 0.133608	 0.000000	 0.000000	 0.012632
 0.5677	 0.034151	 0.142031	 0.000000	 0.000000	 0.013263
 0.5947	 0.037694	 0.150641	 0.000000	 0.000000	 0.013894
 0.6217	 0.041456	 0.160002	 0.000000	 0.000000	 0.014526
 0.6488	 0.045443	 0.169210	 0.000000	 0.000000	 0.015157
 0.6758	 0.049651	 0.178249	 0.000000	 0.000000	 0.015788
 0.7028	 0.054075	 0.187106	 0.000000	 0.000000	 0.016419
 0.7298	 0.058723	 0.196704	 0.000000	 0.000000	 0.017051
 0.7568	 0.063596	 0.205641	 0.000000	 0.000000	 0.017682
 0.7839	 0.068677	 0.213897	 0.000000	 0.000000	 0.018313
 0.8109	 0.073949	 0.221453	 0.000000	 0.000000	 0.018945
 0.8379	 0.079409	 0.229327	 0.000000	 0.000000	 0.019576
 0.8649	 0.085047	 0.236350	 0.000000	 0.000000	 0.020207
 0.8919	 0.090845	 0.242495	 0.000000	 0.000000	 0.020838
 0.9189	 0.096774	 0.247047	 0.000000	 0.000000	 0.021469
 0.9460	 0.102802	 0.250737	 0.000000	 0.000000	 0.022101
 0.9730	 0.108909	 0.253560	 0.000000	 0.000000	 0.022732
 1.0000	 0.115074	 0.255512	 0.000000	 0.000000	 0.023363


 -------- Mode No.   2  (freq = 0.24655E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0035	 0.000000	 0.000000	 0.000001	 0.000858	 0.000000
 0.0104	 0.000000	 0.000000	 0.000012	 0.002563	 0.000000
 0.0174	 0.000000	 0.000000	 0.000033	 0.004257	 0.000000
 0.0244	 0.000000	 0.000000	 0.000065	 0.005939	 0.000000
 0.0313	 0.000000	 0.000000	 0.000107	 0.007608	 0.000000
 0.0383	 0.000000	 0.000000	 0.000160	 0.009265	 0.000000
 0.0453	 0.000000	 0.000000	 0.000223	 0.010910	 0.000000
 0.0522	 0.000000	 0.000000	 0.000296	 0.012542	 0.000000
 0.0592	 0.000000	 0.000000	 0.000380	 0.014163	 0.000000
 0.0662	 0.000000	 0.000000	 0.000473	 0.015771	 0.000000
 0.0731	 0.000000	 0.000000	 0.000576	 0.017367	 0.000000
 0.0801	 0.000000	 0.000000	 0.000690	 0.018951	 0.000000
 0.0870	 0.000000	 0.000000	 0.000813	 0.020522	 0.000000
 0.0940	 0.000000	 0.000000	 0.000946	 0.022082	 0.000000
 0.1010	 0.000000	 0.000000	 0.001088	 0.023629	 0.000000
 0.1079	 0.000000	 0.000000	 0.001241	 0.025292	 0.000000
 0.1149	 0.000000	 0.000000	 0.001404	 0.026944	 0.000000
 0.1219	 0.000000	 0.000000	 0.001577	 0.028585	 0.000000
 0.1288	 0.000000	 0.000000	 0.001761	 0.030216	 0.000000
 0.1358	 0.000000	 0.000000	 0.001954	 0.031836	 0.000000
 0.1399	 0.000000	 0.000000	 0.002073	 0.032786	 0.000000
 0.1497	 0.000000	 0.000000	 0.002372	 0.035043	 0.000000
 0.1567	 0.000000	 0.000000	 0.002595	 0.036630	 0.000000
 0.1636	 0.000000	 0.000000	 0.002829	 0.038207	 0.000000
 0.1706	 0.000000	 0.000000	 0.003072	 0.039772	 0.000000
 0.1776	 0.000000	 0.000000	 0.003325	 0.041326	 0.000000
 0.1845	 0.000000	 0.000000	 0.003588	 0.042870	 0.000000
 0.1915	 0.000000	 0.000000	 0.003860	 0.044402	 0.000000
 0.1985	 0.000000	 0.000000	 0.004142	 0.045924	 0.000000
 0.2054	 0.000000	 0.000000	 0.004434	 0.047554	 0.000000
 0.2124	 0.000000	 0.000000	 0.004736	 0.049186	 0.000000
 0.2194	 0.000000	 0.000000	 0.005048	 0.050819	 0.000000
 0.2263	 0.000000	 0.000000	 0.005370	 0.052453	 0.000000
 0.2333	 0.000000	 0.000000	 0.005702	 0.054089	 0.000000
 0.2403	 0.000000	 0.000000	 0.006045	 0.055725	 0.000000
 0.2472	 0.000000	 0.000000	 0.006398	 0.057364	 0.000000
 0.2507	 0.000000	 0.000000	 0.006578	 0.058183	 0.000000
 0.3203	 0.000000	 0.000000	 0.010732	 0.074657	 0.000000
 0.3797	 0.000000	 0.000000	 0.015110	 0.089702	 0.000000
 0.4248	 0.000000	 0.000000	 0.018985	 0.101966	 0.000000
 0.4596	 0.000000	 0.000000	 0.022319	 0.111625	 0.000000
 0.4866	 0.000000	 0.000000	 0.025115	 0.119255	 0.000000
 0.5137	 0.000000	 0.000000	 0.028098	 0.127022	 0.000000
 0.5407	 0.000000	 0.000000	 0.031275	 0.135341	 0.000000
 0.5677	 0.000000	 0.000000	 0.034656	 0.143810	 0.000000
 0.5947	 0.000000	 0.000000	 0.038243	 0.152454	 0.000000
 0.6217	 0.000000	 0.000000	 0.042049	 0.161838	 0.000000
 0.6488	 0.000000	 0.000000	 0.046080	 0.171053	 0.000000
 0.6758	 0.000000	 0.000000	 0.050332	 0.180081	 0.000000
 0.7028	 0.000000	 0.000000	 0.054801	 0.188906	 0.000000
 0.7298	 0.000000	 0.000000	 0.059492	 0.198445	 0.000000
 0.7568	 0.000000	 0.000000	 0.064406	 0.207299	 0.000000
 0.7839	 0.000000	 0.000000	 0.069526	 0.215449	 0.000000
 0.8109	 0.000000	 0.000000	 0.074834	 0.222873	 0.000000
 0.8379	 0.000000	 0.000000	 0.080326	 0.230565	 0.000000
 0.8649	 0.000000	 0.000000	 0.085992	 0.237375	 0.000000
 0.8919	 0.000000	 0.000000	 0.091812	 0.243276	 0.000000
 0.9189	 0.000000	 0.000000	 0.097756	 0.247586	 0.000000
 0.9460	 0.000000	 0.000000	 0.103795	 0.251009	 0.000000
 0.9730	 0.000000	 0.000000	 0.109905	 0.253539	 0.000000
 1.0000	 0.000000	 0.000000	 0.116065	 0.255172	 0.000000


 -------- Mode No.   3  (freq = 0.73358E+00 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0035	 0.000000	 0.000011	 0.000000	 0.000000	-0.000689
 0.0104	 0.000000	 0.000034	 0.000000	 0.000000	-0.002066
 0.0174	 0.000000	 0.000057	 0.000000	 0.000000	-0.003444
 0.0244	 0.000001	 0.000080	 0.000000	 0.000000	-0.004822
 0.0313	 0.000001	 0.000104	 0.000000	 0.000000	-0.006199
 0.0383	 0.000002	 0.000128	 0.000000	 0.000000	-0.007577
 0.0453	 0.000003	 0.000152	 0.000000	 0.000000	-0.008954
 0.0522	 0.000004	 0.000176	 0.000000	 0.000000	-0.010332
 0.0592	 0.000005	 0.000200	 0.000000	 0.000000	-0.011710
 0.0662	 0.000007	 0.000225	 0.000000	 0.000000	-0.013087
 0.0731	 0.000008	 0.000249	 0.000000	 0.000000	-0.014465
 0.0801	 0.000010	 0.000274	 0.000000	 0.000000	-0.015843
 0.0870	 0.000011	 0.000299	 0.000000	 0.000000	-0.017220
 0.0940	 0.000013	 0.000325	 0.000000	 0.000000	-0.018598
 0.1010	 0.000016	 0.000351	 0.000000	 0.000000	-0.019975
 0.1079	 0.000018	 0.000379	 0.000000	 0.000000	-0.021353
 0.1149	 0.000020	 0.000407	 0.000000	 0.000000	-0.022731
 0.1219	 0.000023	 0.000435	 0.000000	 0.000000	-0.024108
 0.1288	 0.000026	 0.000464	 0.000000	 0.000000	-0.025486
 0.1358	 0.000029	 0.000493	 0.000000	 0.000000	-0.026863
 0.1399	 0.000031	 0.000511	 0.000000	 0.000000	-0.027676
 0.1497	 0.000035	 0.000553	 0.000000	 0.000000	-0.029619
 0.1567	 0.000039	 0.000583	 0.000000	 0.000000	-0.030996
 0.1636	 0.000042	 0.000613	 0.000000	 0.000000	-0.032374
 0.1706	 0.000046	 0.000643	 0.000000	 0.000000	-0.033751
 0.1776	 0.000050	 0.000674	 0.000000	 0.000000	-0.035129
 0.1845	 0.000055	 0.000705	 0.000000	 0.000000	-0.036507
 0.1915	 0.000059	 0.000737	 0.000000	 0.000000	-0.037884
 0.1985	 0.000064	 0.000768	 0.000000	 0.000000	-0.039262
 0.2054	 0.000069	 0.000803	 0.000000	 0.000000	-0.040640
 0.2124	 0.000074	 0.000838	 0.000000	 0.000000	-0.042017
 0.2194	 0.000079	 0.000874	 0.000000	 0.000000	-0.043395
 0.2263	 0.000085	 0.000910	 0.000000	 0.000000	-0.044772
 0.2333	 0.000091	 0.000947	 0.000000	 0.000000	-0.046150
 0.2403	 0.000097	 0.000985	 0.000000	 0.000000	-0.047528
 0.2472	 0.000103	 0.001024	 0.000000	 0.000000	-0.048905
 0.2507	 0.000106	 0.001043	 0.000000	 0.000000	-0.049594
 0.3203	 0.000185	 0.001471	 0.000000	 0.000000	-0.063370
 0.3797	 0.000275	 0.001930	 0.000000	 0.000000	-0.075116
 0.4248	 0.000361	 0.002360	 0.000000	 0.000000	-0.084034
 0.4596	 0.000441	 0.002738	 0.000000	 0.000000	-0.090922
 0.4866	 0.000511	 0.003064	 0.000000	 0.000000	-0.096269
 0.5137	 0.000590	 0.003424	 0.000000	 0.000000	-0.101615
 0.5407	 0.000678	 0.003842	 0.000000	 0.000000	-0.106960
 0.5677	 0.000776	 0.004307	 0.000000	 0.000000	-0.112305
 0.5947	 0.000887	 0.004826	 0.000000	 0.000000	-0.117649
 0.6217	 0.001011	 0.005446	 0.000000	 0.000000	-0.122994
 0.6488	 0.001151	 0.006117	 0.000000	 0.000000	-0.128339
 0.6758	 0.001308	 0.006846	 0.000000	 0.000000	-0.133684
 0.7028	 0.001483	 0.007642	 0.000000	 0.000000	-0.139029
 0.7298	 0.001680	 0.008609	 0.000000	 0.000000	-0.144375
 0.7568	 0.001901	 0.009625	 0.000000	 0.000000	-0.149720
 0.7839	 0.002147	 0.010695	 0.000000	 0.000000	-0.155065
 0.8109	 0.002419	 0.011823	 0.000000	 0.000000	-0.160410
 0.8379	 0.002722	 0.013193	 0.000000	 0.000000	-0.165756
 0.8649	 0.003059	 0.014641	 0.000000	 0.000000	-0.171100
 0.8919	 0.003432	 0.016173	 0.000000	 0.000000	-0.176444
 0.9189	 0.003840	 0.017583	 0.000000	 0.000000	-0.181789
 0.9460	 0.004284	 0.019061	 0.000000	 0.000000	-0.187134
 0.9730	 0.004764	 0.020612	 0.000000	 0.000000	-0.192480
 1.0000	 0.005282	 0.022241	 0.000000	 0.000000	-0.197825


 -------- Mode No.   4  (freq = 0.11238E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0035	-0.000003	-0.001718	 0.000000	 0.000000	 0.000215
 0.0104	-0.000024	-0.005112	 0.000000	 0.000000	 0.000645
 0.0174	-0.000066	-0.008450	 0.000000	 0.000000	 0.001075
 0.0244	-0.000129	-0.011733	 0.000000	 0.000000	 0.001506
 0.0313	-0.000213	-0.014961	 0.000000	 0.000000	 0.001936
 0.0383	-0.000316	-0.018133	 0.000000	 0.000000	 0.002366
 0.0453	-0.000439	-0.021249	 0.000000	 0.000000	 0.002796
 0.0522	-0.000581	-0.024310	 0.000000	 0.000000	 0.003226
 0.0592	-0.000742	-0.027316	 0.000000	 0.000000	 0.003657
 0.0662	-0.000922	-0.030266	 0.000000	 0.000000	 0.004087
 0.0731	-0.001120	-0.033161	 0.000000	 0.000000	 0.004517
 0.0801	-0.001336	-0.036001	 0.000000	 0.000000	 0.004947
 0.0870	-0.001569	-0.038785	 0.000000	 0.000000	 0.005377
 0.0940	-0.001820	-0.041513	 0.000000	 0.000000	 0.005807
 0.1010	-0.002087	-0.044187	 0.000000	 0.000000	 0.006238
 0.1079	-0.002372	-0.047023	 0.000000	 0.000000	 0.006668
 0.1149	-0.002674	-0.049804	 0.000000	 0.000000	 0.007098
 0.1219	-0.002993	-0.052529	 0.000000	 0.000000	 0.007528
 0.1288	-0.003329	-0.055198	 0.000000	 0.000000	 0.007958
 0.1358	-0.003682	-0.057811	 0.000000	 0.000000	 0.008388
 0.1399	-0.003897	-0.059326	 0.000000	 0.000000	 0.008642
 0.1497	-0.004435	-0.062869	 0.000000	 0.000000	 0.009249
 0.1567	-0.004835	-0.065314	 0.000000	 0.000000	 0.009679
 0.1636	-0.005250	-0.067702	 0.000000	 0.000000	 0.010109
 0.1706	-0.005680	-0.070034	 0.000000	 0.000000	 0.010539
 0.1776	-0.006124	-0.072309	 0.000000	 0.000000	 0.010970
 0.1845	-0.006582	-0.074528	 0.000000	 0.000000	 0.011400
 0.1915	-0.007054	-0.076690	 0.000000	 0.000000	 0.011830
 0.1985	-0.007539	-0.078796	 0.000000	 0.000000	 0.012260
 0.2054	-0.008038	-0.081007	 0.000000	 0.000000	 0.012690
 0.2124	-0.008550	-0.083175	 0.000000	 0.000000	 0.013120
 0.2194	-0.009076	-0.085299	 0.000000	 0.000000	 0.013551
 0.2263	-0.009615	-0.087377	 0.000000	 0.000000	 0.013981
 0.2333	-0.010167	-0.089410	 0.000000	 0.000000	 0.014411
 0.2403	-0.010731	-0.091396	 0.000000	 0.000000	 0.014841
 0.2472	-0.011307	-0.093334	 0.000000	 0.000000	 0.015271
 0.2507	-0.011600	-0.094285	 0.000000	 0.000000	 0.015486
 0.3203	-0.018032	-0.110669	 0.000000	 0.000000	 0.019788
 0.3797	-0.024213	-0.120703	 0.000000	 0.000000	 0.023456
 0.4248	-0.029192	-0.125183	 0.000000	 0.000000	 0.026241
 0.4596	-0.033120	-0.126233	 0.000000	 0.000000	 0.028392
 0.4866	-0.036170	-0.125411	 0.000000	 0.000000	 0.030061
 0.5137	-0.039181	-0.122994	 0.000000	 0.000000	 0.031731
 0.5407	-0.042109	-0.118585	 0.000000	 0.000000	 0.033400
 0.5677	-0.044905	-0.112094	 0.000000	 0.000000	 0.035069
 0.5947	-0.047515	-0.103246	 0.000000	 0.000000	 0.036738
 0.6217	-0.049870	-0.091001	 0.000000	 0.000000	 0.038406
 0.6488	-0.051897	-0.076115	 0.000000	 0.000000	 0.040076
 0.6758	-0.053530	-0.058403	 0.000000	 0.000000	 0.041745
 0.7028	-0.054697	-0.037648	 0.000000	 0.000000	 0.043414
 0.7298	-0.055290	-0.010973	 0.000000	 0.000000	 0.045083
 0.7568	-0.055204	 0.018354	 0.000000	 0.000000	 0.046752
 0.7839	-0.054377	 0.050310	 0.000000	 0.000000	 0.048421
 0.8109	-0.052744	 0.084875	 0.000000	 0.000000	 0.050090
 0.8379	-0.050176	 0.127677	 0.000000	 0.000000	 0.051759
 0.8649	-0.046534	 0.173491	 0.000000	 0.000000	 0.053428
 0.8919	-0.041747	 0.222344	 0.000000	 0.000000	 0.055097
 0.9189	-0.035821	 0.267448	 0.000000	 0.000000	 0.056766
 0.9460	-0.028777	 0.314612	 0.000000	 0.000000	 0.058435
 0.9730	-0.020567	 0.363798	 0.000000	 0.000000	 0.060104
 1.0000	-0.011142	 0.414982	 0.000000	 0.000000	 0.061773


 -------- Mode No.   5  (freq = 0.12432E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0035	 0.000000	 0.000000	 0.000003	 0.001805	 0.000000
 0.0104	 0.000000	 0.000000	 0.000025	 0.005368	 0.000000
 0.0174	 0.000000	 0.000000	 0.000070	 0.008872	 0.000000
 0.0244	 0.000000	 0.000000	 0.000136	 0.012315	 0.000000
 0.0313	 0.000000	 0.000000	 0.000223	 0.015698	 0.000000
 0.0383	 0.000000	 0.000000	 0.000332	 0.019020	 0.000000
 0.0453	 0.000000	 0.000000	 0.000461	 0.022282	 0.000000
 0.0522	 0.000000	 0.000000	 0.000610	 0.025483	 0.000000
 0.0592	 0.000000	 0.000000	 0.000778	 0.028624	 0.000000
 0.0662	 0.000000	 0.000000	 0.000967	 0.031705	 0.000000
 0.0731	 0.000000	 0.000000	 0.001174	 0.034726	 0.000000
 0.0801	 0.000000	 0.000000	 0.001400	 0.037686	 0.000000
 0.0870	 0.000000	 0.000000	 0.001644	 0.040586	 0.000000
 0.0940	 0.000000	 0.000000	 0.001906	 0.043426	 0.000000
 0.1010	 0.000000	 0.000000	 0.002186	 0.046205	 0.000000
 0.1079	 0.000000	 0.000000	 0.002484	 0.049151	 0.000000
 0.1149	 0.000000	 0.000000	 0.002799	 0.052036	 0.000000
 0.1219	 0.000000	 0.000000	 0.003133	 0.054861	 0.000000
 0.1288	 0.000000	 0.000000	 0.003484	 0.057624	 0.000000
 0.1358	 0.000000	 0.000000	 0.003852	 0.060326	 0.000000
 0.1399	 0.000000	 0.000000	 0.004077	 0.061891	 0.000000
 0.1497	 0.000000	 0.000000	 0.004638	 0.065548	 0.000000
 0.1567	 0.000000	 0.000000	 0.005055	 0.068066	 0.000000
 0.1636	 0.000000	 0.000000	 0.005487	 0.070523	 0.000000
 0.1706	 0.000000	 0.000000	 0.005935	 0.072919	 0.000000
 0.1776	 0.000000	 0.000000	 0.006397	 0.075253	 0.000000
 0.1845	 0.000000	 0.000000	 0.006874	 0.077525	 0.000000
 0.1915	 0.000000	 0.000000	 0.007365	 0.079736	 0.000000
 0.1985	 0.000000	 0.000000	 0.007869	 0.081885	 0.000000
 0.2054	 0.000000	 0.000000	 0.008387	 0.084138	 0.000000
 0.2124	 0.000000	 0.000000	 0.008919	 0.086343	 0.000000
 0.2194	 0.000000	 0.000000	 0.009464	 0.088498	 0.000000
 0.2263	 0.000000	 0.000000	 0.010023	 0.090602	 0.000000
 0.2333	 0.000000	 0.000000	 0.010595	 0.092656	 0.000000
 0.2403	 0.000000	 0.000000	 0.011180	 0.094657	 0.000000
 0.2472	 0.000000	 0.000000	 0.011776	 0.096606	 0.000000
 0.2507	 0.000000	 0.000000	 0.012079	 0.097560	 0.000000
 0.3203	 0.000000	 0.000000	 0.018711	 0.113717	 0.000000
 0.3797	 0.000000	 0.000000	 0.025038	 0.123052	 0.000000
 0.4248	 0.000000	 0.000000	 0.030094	 0.126628	 0.000000
 0.4596	 0.000000	 0.000000	 0.034054	 0.126765	 0.000000
 0.4866	 0.000000	 0.000000	 0.037106	 0.125100	 0.000000
 0.5137	 0.000000	 0.000000	 0.040098	 0.121719	 0.000000
 0.5407	 0.000000	 0.000000	 0.042982	 0.116171	 0.000000
 0.5677	 0.000000	 0.000000	 0.045704	 0.108415	 0.000000
 0.5947	 0.000000	 0.000000	 0.048208	 0.098175	 0.000000
 0.6217	 0.000000	 0.000000	 0.050421	 0.084318	 0.000000
 0.6488	 0.000000	 0.000000	 0.052266	 0.067760	 0.000000
 0.6758	 0.000000	 0.000000	 0.053675	 0.048336	 0.000000
 0.7028	 0.000000	 0.000000	 0.054577	 0.025850	 0.000000
 0.7298	 0.000000	 0.000000	 0.054861	-0.002739	 0.000000
 0.7568	 0.000000	 0.000000	 0.054422	-0.033861	 0.000000
 0.7839	 0.000000	 0.000000	 0.053199	-0.067463	 0.000000
 0.8109	 0.000000	 0.000000	 0.051132	-0.103494	 0.000000
 0.8379	 0.000000	 0.000000	 0.048095	-0.147740	 0.000000
 0.8649	 0.000000	 0.000000	 0.043953	-0.194726	 0.000000
 0.8919	 0.000000	 0.000000	 0.038640	-0.244445	 0.000000
 0.9189	 0.000000	 0.000000	 0.032173	-0.290011	 0.000000
 0.9460	 0.000000	 0.000000	 0.024580	-0.337322	 0.000000
 0.9730	 0.000000	 0.000000	 0.015822	-0.386325	 0.000000
 1.0000	 0.000000	 0.000000	 0.005857	-0.436992	 0.000000


 -------- Mode No.   6  (freq = 0.33522E+01 Hz)

span_loc	s-s disp	s-s slope	f-a disp	f-a slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0035	-0.000006	-0.003825	 0.000000	 0.000000	-0.000060
 0.0104	-0.000053	-0.011320	 0.000000	 0.000000	-0.000181
 0.0174	-0.000147	-0.018609	 0.000000	 0.000000	-0.000302
 0.0244	-0.000285	-0.025690	 0.000000	 0.000000	-0.000423
 0.0313	-0.000467	-0.032565	 0.000000	 0.000000	-0.000544
 0.0383	-0.000691	-0.039233	 0.000000	 0.000000	-0.000665
 0.0453	-0.000956	-0.045694	 0.000000	 0.000000	-0.000786
 0.0522	-0.001261	-0.051949	 0.000000	 0.000000	-0.000907
 0.0592	-0.001604	-0.057998	 0.000000	 0.000000	-0.001027
 0.0662	-0.001984	-0.063840	 0.000000	 0.000000	-0.001148
 0.0731	-0.002401	-0.069477	 0.000000	 0.000000	-0.001269
 0.0801	-0.002851	-0.074908	 0.000000	 0.000000	-0.001390
 0.0870	-0.003335	-0.080134	 0.000000	 0.000000	-0.001511
 0.0940	-0.003851	-0.085156	 0.000000	 0.000000	-0.001632
 0.1010	-0.004397	-0.089974	 0.000000	 0.000000	-0.001753
 0.1079	-0.004975	-0.094973	 0.000000	 0.000000	-0.001874
 0.1149	-0.005582	-0.099759	 0.000000	 0.000000	-0.001995
 0.1219	-0.006219	-0.104334	 0.000000	 0.000000	-0.002115
 0.1288	-0.006884	-0.108697	 0.000000	 0.000000	-0.002236
 0.1358	-0.007575	-0.112848	 0.000000	 0.000000	-0.002357
 0.1399	-0.007995	-0.115197	 0.000000	 0.000000	-0.002428
 0.1497	-0.009033	-0.120520	 0.000000	 0.000000	-0.002599
 0.1567	-0.009796	-0.124040	 0.000000	 0.000000	-0.002720
 0.1636	-0.010580	-0.127353	 0.000000	 0.000000	-0.002841
 0.1706	-0.011385	-0.130457	 0.000000	 0.000000	-0.002962
 0.1776	-0.012208	-0.133355	 0.000000	 0.000000	-0.003082
 0.1845	-0.013049	-0.136047	 0.000000	 0.000000	-0.003203
 0.1915	-0.013906	-0.138536	 0.000000	 0.000000	-0.003324
 0.1985	-0.014777	-0.140822	 0.000000	 0.000000	-0.003445
 0.2054	-0.015663	-0.143073	 0.000000	 0.000000	-0.003566
 0.2124	-0.016563	-0.145125	 0.000000	 0.000000	-0.003687
 0.2194	-0.017474	-0.146978	 0.000000	 0.000000	-0.003808
 0.2263	-0.018397	-0.148630	 0.000000	 0.000000	-0.003929
 0.2333	-0.019329	-0.150081	 0.000000	 0.000000	-0.004049
 0.2403	-0.020269	-0.151328	 0.000000	 0.000000	-0.004170
 0.2472	-0.021217	-0.152371	 0.000000	 0.000000	-0.004291
 0.2507	-0.021693	-0.152816	 0.000000	 0.000000	-0.004352
 0.3203	-0.031282	-0.151094	 0.000000	 0.000000	-0.005560
 0.3797	-0.038885	-0.132461	 0.000000	 0.000000	-0.006591
 0.4248	-0.043740	-0.106837	 0.000000	 0.000000	-0.007374
 0.4596	-0.046679	-0.081071	 0.000000	 0.000000	-0.007978
 0.4866	-0.048363	-0.057756	 0.000000	 0.000000	-0.008447
 0.5137	-0.049448	-0.031824	 0.000000	 0.000000	-0.008916
 0.5407	-0.049860	-0.002187	 0.000000	 0.000000	-0.009385
 0.5677	-0.049530	 0.029311	 0.000000	 0.000000	-0.009854
 0.5947	-0.048419	 0.062166	 0.000000	 0.000000	-0.010323
 0.6217	-0.046477	 0.097782	 0.000000	 0.000000	-0.010792
 0.6488	-0.043690	 0.131825	 0.000000	 0.000000	-0.011261
 0.6758	-0.040107	 0.163278	 0.000000	 0.000000	-0.011730
 0.7028	-0.035806	 0.191031	 0.000000	 0.000000	-0.012199
 0.7298	-0.030858	 0.216362	 0.000000	 0.000000	-0.012668
 0.7568	-0.025389	 0.233997	 0.000000	 0.000000	-0.013137
 0.7839	-0.019595	 0.243079	 0.000000	 0.000000	-0.013606
 0.8109	-0.013693	 0.242813	 0.000000	 0.000000	-0.014075
 0.8379	-0.007934	 0.230920	 0.000000	 0.000000	-0.014544
 0.8649	-0.002612	 0.206716	 0.000000	 0.000000	-0.015013
 0.8919	 0.001968	 0.169553	 0.000000	 0.000000	-0.015482
 0.9189	 0.005562	 0.125501	 0.000000	 0.000000	-0.015951
 0.9460	 0.007951	 0.069969	 0.000000	 0.000000	-0.016420
